Component,ComponentCode,ComponentType,Quantity,DateReceived,Notes,LeadTimeDays,MaxCapacity,SafetyFactor,ReorderPoint
Resolute DEF 2.5 Gal Box Premium,PRED25-BOX,box,12734.0,04-09-2026,Line 4 – Resolute DEF 2.5 Gal premium,14.0,0.0,1.1,33767.99999999999
RV Antifreeze -100 Label,LBL-45915,label,74000.0,1-1-2026,Line 3 – RV Antifreeze -100,14.0,0.0,1.0,183456.0
RV Antifreeze -50 Label,LBL-45915,label,217229.8,1-1-2026,Line 3 – RV Antifreeze -50,14.0,0.0,1.0,183456.0
Simply Auto Box,BOX-SIMPLY,box,6128.0,1-1-2026,Line 1 – Simply Cool,14.0,0.0,1.0,26470.08
Simply Cool Back Label,LBL-99983-B,label,12000.0,1-1-2026,Line 1 – Simply Cool,14.0,0.0,1.0,163537.92
Simply Cool Front Label,LBL-99983-F,label,12000.0,1-1-2026,Line 1 – Simply Cool,14.0,0.0,1.0,163537.92
Super Purple Back Label,LABEL-61115-B,label,539.12,1-1-2026,,14.0,0.0,1.0,183456.0
Super Purple Front Label,LABEL-61115-F,label,539.12,1-1-2026,,14.0,0.0,1.0,183456.0
TotalX Label,LBL-45960,label,49000.0,1-1-2026,Line 3 – TotalX W/Wash,14.0,0.0,1.0,183456.0
W/Wash -20 Drum Label,TBDWW20DRLBL,label,1420.0,1-1-2026,Line 4 – Drum W/Wash -20,14.0,0.0,1.0,2828.0
White Antifreeze Bottle,BOT-AF-WHT,bottle,-381.76,1-1-2026,,14.0,0.0,1.0,152712.0
White Cap,CAP-WH,cap,76343.4,04-20-2026,Line 3 – RV Antifreeze -50,14.0,0.0,1.0,490578.48
White Round Bottle,BOTTLE-RD-WHT,bottle,250.0,1-1-2026,Line 3 – Pool Shock,14.0,0.0,1.0,417412.8
Wood Pallet,PALLET,Pallet,660.0,06-01-2026,,14.0,0.0,1.1,0.0
Yellow Antifreeze Bottle,BOTTLE-AFYEL,bottle,4332.199999999999,07-15-2026,Line 1 – Simply Cool,14.0,0.0,1.0,159606.72
Yellow Antifreeze Cap,CAP-AFYEL,cap,0.0,04-09-2026,Line 1 – Simply Cool,14.0,0.0,1.0,159606.72
Yellow Oil Bottle,BOT-OIL-QTYL,bottle,61733.020000000004,07-10-2026,Line 2 – 4 Seasons Oil 5W20,14.0,0.0,1.1,122915.51999999996
ZeroX Label,LBL-45955,label,32344.8,1-1-2026,,14.0,0.0,1.0,183456.0
All Blu DEF 2.5 Gal Box,TBD,box,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
All Temp W/Wash -20 Label,LBL-ATWW20,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Black DOT Diamond Label,DMNDLBL,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
Blue Laundry Bucket Label,TBD,label,0.0,,Added from Kits reconciliation 09-14-2026; starting count not established,14.0,0.0,1.0,0.0
